------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
5.1742 1.5766 3.7914 3.5033 3.5114 1.3534
5.4359 1.5407 3.7793 3.2852 3.5103 1.3634
5.5061 1.5041 3.8487 3.1775 3.5091 1.3734
5.3517 1.4787 3.9735 3.0447 3.4621 1.3835
5.0173 1.4488 4.1510 2.8902 3.3768 1.3935
4.6635 1.5519 4.3328 2.7171 3.3163 1.4035
4.6929 1.6183 4.4997 2.5283 3.3348 1.4135
4.7169 1.6506 4.8738 2.4485 3.4224 1.4236
4.7596 1.6433 5.1201 2.5322 3.5138 1.4336
4.8201 1.6292 5.1200 2.6100 3.5448 1.4436
4.8383 1.6483 4.9538 2.6816 3.5305 1.4536
4.7700 1.7278 4.7504 2.7469 3.4988 1.4637
4.5689 1.8673 4.5815 2.8056 3.4558 1.4737
4.2102 2.0416 4.4210 2.8588 3.3829 1.4837
4.3370 2.2147 4.2768 2.9085 3.4342 1.4937
4.5899 2.3527 4.1201 2.9624 3.5063 1.5038
4.7441 2.4356 3.9274 3.0236 3.5326 1.5138
5.1052 2.4605 3.6954 3.0842 3.5863 1.5238
5.3457 2.4339 3.6128 3.1449 3.6343 1.5338
5.4403 2.3509 3.7357 3.2030 3.6825 1.5439
5.3663 2.2272 3.8702 3.2727 3.6841 1.5539
5.6972 2.2113 3.9951 3.3705 3.8185 1.5639
6.2183 2.2829 4.1133 3.4625 4.0192 1.5739
6.4827 2.3572 4.2018 3.5482 4.1475 1.5840
6.5155 2.4329 4.2798 3.6273 4.2139 1.5940
6.3776 2.5104 4.5933 3.6997 4.2952 1.6040
6.1654 2.5899 4.9561 3.7653 4.3692 1.6140
5.9750 2.6711 5.2528 3.8941 4.4483 1.6241
6.0498 2.7533 5.4822 4.1470 4.6081 1.6341
6.1729 2.8348 5.6302 4.3952 4.7583 1.6441
6.3733 2.9936 5.7339 4.6669 4.9419 1.6541
6.5569 3.3195 5.7611 4.9385 5.1440 1.6642
6.6674 3.6232 5.6494 5.1833 5.2808 1.6742
6.7894 3.8825 5.5287 5.3898 5.3976 1.6842
6.7485 4.0797 5.6568 5.5509 5.5090 1.6942
6.5326 4.2004 5.8892 5.7327 5.5887 1.7043
6.1760 4.2456 6.0226 6.1348 5.6447 1.7143
5.8850 4.2339 6.0561 6.5004 5.6688 1.7243
5.5947 4.1657 5.9909 6.7824 5.6334 1.7343
5.2524 4.0905 5.8246 6.9721 5.5349 1.7444
4.9039 3.9817 5.5508 7.0906 5.3818 1.7544
4.6004 3.8760 5.4233 7.2036 5.2758 1.7644
4.5277 3.9609 5.4179 7.3388 5.3113 1.7744
4.6678 4.0260 5.3932 7.4273 5.3786 1.7845
4.8140 4.0747 5.3407 7.4417 5.4178 1.7945
4.9724 4.0958 5.2568 7.3721 5.4243 1.8045
5.1659 4.0878 5.1435 7.2456 5.4107 1.8145
5.3998 4.0592 5.0062 7.1988 5.4160 1.8246
5.6560 4.0125 4.8530 7.3417 5.4658 1.8346
6.1708 3.9345 4.6990 7.4195 5.5559 1.8446
6.6754 3.8501 4.5263 7.3998 5.6129 1.8546
7.2260 3.7465 4.4460 7.2868 5.6763 1.8647
7.7388 3.6254 4.5413 7.0935 5.7498 1.8747
8.1784 3.5142 4.6526 6.8255 5.7927 1.8847
8.5109 3.3686 4.8082 6.5538 5.8104 1.8947
8.7261 3.2411 4.9508 6.2767 5.7987 1.9048
9.0840 3.1463 5.0786 5.9560 5.8162 1.9148
9.3239 3.0145 5.1910 5.6176 5.7868 1.9248
9.4501 3.1429 5.2879 5.4386 5.8299 1.9348
9.4490 3.2706 5.3704 5.3743 5.8661 1.9449
9.3160 3.3503 5.4439 5.3022 5.8531 1.9549
9.0943 3.4045 5.5129 5.2225 5.8086 1.9649
8.9606 3.4632 5.5734 5.1358 5.7832 1.9749
8.6946 3.4871 5.6161 5.0422 5.7100 1.9850
8.3401 3.4746 5.6372 4.9423 5.5986 1.9950
8.3256 3.4775 5.6389 4.8363 5.5696 2.0050
8.2830 3.5362 5.6385 4.7246 5.5456 2.0150
8.2270 3.5827 5.6255 4.6080 5.5108 2.0251
8.2227 3.6618 5.5848 4.4873 5.4891 2.0351
8.1942 3.7412 5.5121 4.3629 5.4526 2.0451
8.1366 3.8158 5.4062 4.2364 5.3988 2.0551
8.0502 3.8843 5.2670 4.1108 5.3281 2.0652
7.9373 3.9463 5.0947 3.9901 5.2421 2.0752
7.8065 4.0015 4.8903 3.8686 5.1417 2.0852
7.6611 4.2276 4.6569 3.7448 5.0726 2.0952
7.5095 4.4870 4.6050 3.6273 5.0572 2.1053
7.3701 4.7406 4.6034 3.7739 5.1220 2.1153
7.2272 4.9766 4.5905 3.9095 5.1760 2.1253
7.0707 5.1892 4.5659 4.0217 5.2119 2.1353
6.8958 5.3681 4.5943 4.1094 5.2419 2.1454
6.7025 5.4976 4.6589 4.1750 5.2585 2.1554
6.4919 5.5950 4.6709 4.3015 5.2648 2.1654
6.9417 5.6888 4.7204 4.4591 5.4525 2.1754
7.4836 5.7524 4.9528 4.5911 5.6950 2.1855
7.9637 5.7640 5.1898 4.6884 5.9015 2.1955
8.3754 5.7236 5.4492 4.7472 6.0739 2.2055
8.7126 5.6321 5.6560 4.7672 6.1920 2.2155
8.9716 5.4741 5.7790 4.7501 6.2437 2.2256
9.1556 5.2562 5.8058 4.7005 6.2295 2.2356
9.2786 4.9928 5.7446 4.6432 6.1648 2.2456
9.3545 4.7069 5.7270 4.6618 6.1125 2.2556
9.3864 4.5711 5.6991 4.6661 6.0807 2.2657
9.3820 4.6712 5.7654 4.6621 6.1202 2.2757
9.3517 4.7859 5.7840 4.6515 6.1433 2.2857
9.3844 4.8879 5.7629 4.6332 6.1671 2.2957
9.4350 4.9763 5.7111 4.6109 6.1833 2.3058
9.4645 5.0708 5.6385 4.6071 6.1952 2.3158
9.4763 5.1871 5.5549 4.6506 6.2172 2.3258
9.4719 5.2892 5.4696 4.6914 6.2305 2.3358
9.4554 5.3766 5.3924 4.7318 6.2390 2.3459
9.4322 5.4511 5.3319 4.7732 6.2471 2.3559
9.4088 5.5135 5.2957 4.8158 6.2584 2.3659
9.3869 5.5664 5.2886 4.8599 6.2755 2.3759
9.3643 5.6132 5.3140 4.9038 6.2988 2.3860
9.3387 5.6546 5.3719 4.9452 6.3276 2.3960
9.3086 5.6887 5.4604 4.9814 6.3598 2.4060
9.2721 5.7188 5.5763 5.0096 6.3942 2.4160
9.2265 5.7463 5.7140 5.0265 6.4283 2.4261
9.1710 5.7838 5.8677 5.0290 6.4629 2.4361
9.1062 5.8579 6.0320 5.0144 6.5026 2.4461
9.0349 5.9282 6.2038 4.9809 6.5370 2.4561
8.9594 5.9935 6.3794 5.0463 6.5947 2.4662
8.8839 6.0538 6.5516 5.2015 6.6727 2.4762
8.8115 6.1208 6.7149 5.3072 6.7386 2.4862
8.7461 6.1968 6.8645 5.3773 6.7962 2.4962
8.6904 6.2664 6.9954 5.4057 6.8395 2.5063
8.6467 6.3259 7.1028 5.3800 6.8638 2.5163
8.6162 6.3735 7.1846 5.3280 6.8756 2.5263
8.5991 6.4082 7.2395 5.3569 6.9009 2.5363
8.5943 6.4299 7.2687 5.3405 6.9084 2.5464
8.5989 6.4436 7.3374 5.2913 6.9178 2.5564
8.6093 6.4545 7.4866 5.1935 6.9360 2.5664
8.6210 6.4686 7.6152 5.0622 6.9417 2.5764
8.6278 6.4892 7.7255 4.9091 6.9379 2.5865
8.6224 6.5179 7.8186 4.7316 6.9226 2.5965
8.5977 6.5528 7.8945 4.7177 6.9407 2.6065
8.5483 6.5716 7.9842 4.7050 6.9523 2.6165
8.4737 6.5940 8.0758 4.6750 6.9546 2.6266
8.4382 6.6163 8.1476 4.6365 6.9597 2.6366
8.4590 6.6274 8.2001 4.5953 6.9705 2.6466
8.4501 6.6272 8.2338 4.5649 6.9690 2.6566
8.4043 6.6143 8.2478 4.5546 6.9553 2.6667
8.3165 6.5919 8.2402 4.5666 6.9288 2.6767
8.1784 6.5761 8.2096 4.6013 6.8913 2.6867
7.9859 6.5643 8.1557 4.6556 6.8404 2.6967
7.7392 6.5379 8.0790 4.7224 6.7696 2.7068
7.4372 6.4974 7.9807 4.7926 6.6770 2.7168
7.3304 6.4447 7.8612 4.8555 6.6229 2.7268
7.4467 6.3781 7.8991 4.9012 6.6563 2.7368
7.5373 6.4070 7.9290 4.9268 6.7000 2.7469
7.6134 6.4772 7.9440 4.9575 6.7480 2.7569
7.6878 6.5446 7.9604 4.9792 6.7930 2.7669
7.7495 6.6111 7.9639 4.9741 6.8247 2.7769
7.7981 6.6784 7.9523 4.9519 6.8452 2.7870
7.8260 6.7453 7.9265 4.9071 6.8512 2.7970
7.8135 6.8096 7.8875 4.8368 6.8368 2.8070
7.7610 6.8706 7.8360 4.7418 6.8024 2.8170
7.6684 6.9284 7.7723 4.6190 6.7470 2.8271
7.6192 6.9856 7.6969 4.6194 6.7303 2.8371
7.5547 7.0426 7.6112 4.5906 6.6998 2.8471
7.4637 7.0965 7.5154 4.6517 6.6818 2.8571
7.3418 7.1470 7.4112 4.7797 6.6699 2.8672
7.1987 7.1937 7.3541 4.8671 6.6534 2.8772
7.0420 7.2479 7.3034 4.9095 6.6257 2.8872
6.8830 7.3042 7.2485 4.9069 6.5857 2.8972
6.7122 7.3562 7.1902 4.8634 6.5305 2.9073
6.5236 7.4044 7.1298 4.7858 6.4609 2.9173
6.3296 7.4480 7.0680 4.7417 6.3968 2.9273
6.1219 7.4872 7.0069 4.7222 6.3346 2.9373
5.8998 7.5221 6.9478 4.6721 6.2605 2.9474
5.6645 7.5526 6.8905 4.6240 6.1829 2.9574
