------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoVelocidad
16.4355 14.1758 18.9898 26.1518 18.9382 1.7845
16.8556 14.2671 18.6997 26.0564 18.9697 1.7945
17.3136 14.2612 18.3038 25.6691 18.8869 1.8045
17.8879 14.1547 17.8105 25.0893 18.7356 1.8145
18.5953 13.9786 17.2396 24.7904 18.6510 1.8246
19.3708 13.7422 16.6207 25.1443 18.7195 1.8346
21.0191 13.4018 16.0058 25.2725 18.9248 1.8446
22.6151 13.0436 15.3344 25.0694 19.0156 1.8546
24.3487 12.6244 14.9813 24.5535 19.1270 1.8647
25.9374 12.1509 15.2206 23.7744 19.2708 1.8747
27.2649 11.7156 15.5107 22.7547 19.3115 1.8847
28.2233 11.1706 15.9445 21.7331 19.2679 1.8947
28.7847 10.6914 16.3310 20.7048 19.1280 1.9048
29.8083 10.3242 16.6651 19.5441 19.0854 1.9148
30.4362 9.8402 16.9451 18.3377 18.8898 1.9248
30.6881 10.2064 17.1718 17.6614 18.9319 1.9348
30.5265 10.5663 17.3500 17.3625 18.9513 1.9449
29.9426 10.7682 17.4972 17.0416 18.8124 1.9549
29.0807 10.8865 17.6286 16.7001 18.5740 1.9649
28.5077 11.0181 17.7316 16.3393 18.3992 1.9749
27.5219 11.0380 17.7772 15.9607 18.0744 1.9850
26.2671 10.9432 17.7544 15.5656 17.6326 1.9950
26.0902 10.8975 17.6710 15.1556 17.4536 2.0050
25.8277 11.0265 17.5818 14.7321 17.2920 2.0150
25.5260 11.1161 17.4544 14.2974 17.0984 2.0251
25.3871 11.3055 17.2426 13.8541 16.9473 2.0351
25.1749 11.4942 16.9346 13.4040 16.7519 2.0451
24.8762 11.6661 16.5285 12.9518 16.5057 2.0551
24.4926 11.8179 16.0247 12.5068 16.2105 2.0652
24.0323 11.9485 15.4256 12.0811 15.8719 2.0752
23.5225 12.0573 14.7356 11.6568 15.4931 2.0852
22.9741 12.6778 13.9650 11.2299 15.2117 2.0952
22.4121 13.3915 13.7436 10.8258 15.0933 2.1053
21.8920 14.0812 13.6739 11.2099 15.2143 2.1153
21.3662 14.7126 13.5712 11.5579 15.3020 2.1253
20.8053 15.2690 13.4352 11.8338 15.3358 2.1353
20.1959 15.7217 13.4555 12.0352 15.3521 2.1454
19.5384 16.0260 13.5812 12.1706 15.3291 2.1554
18.8370 16.2344 13.5532 12.4812 15.2764 2.1654
20.0492 16.4307 13.6335 12.8788 15.7480 2.1754
21.5154 16.5382 14.2394 13.1994 16.3731 2.1855
22.7910 16.4959 14.8523 13.4175 16.8892 2.1955
23.8603 16.3058 15.5241 13.5240 17.3035 2.2055
24.7085 15.9724 16.0403 13.5195 17.5602 2.2155
25.3284 15.4544 16.3151 13.4104 17.6271 2.2256
25.7320 14.7727 16.3174 13.2109 17.5082 2.2356
25.9615 13.9698 16.0732 12.9916 17.2490 2.2456
26.0574 13.1112 15.9527 12.9857 17.0267 2.2556
26.0306 12.6767 15.8049 12.9401 16.8631 2.2657
25.9037 12.8971 15.9183 12.8720 16.8978 2.2757
25.7068 13.1560 15.8995 12.7864 16.8872 2.2857
25.6842 13.3775 15.7724 12.6807 16.8787 2.2957
25.7102 13.5604 15.5626 12.5646 16.8495 2.3058
25.6789 13.7580 15.2983 12.5001 16.8088 2.3158
25.6002 14.0129 15.0067 12.5636 16.7958 2.3258
25.4785 14.2275 14.7126 12.6194 16.7595 2.3358
25.3254 14.4006 14.4429 12.6737 16.7107 2.3459
25.1558 14.5381 14.2203 12.7301 16.6611 2.3559
24.9870 14.6423 14.0637 12.7894 16.6206 2.3659
24.8237 14.7204 13.9858 12.8520 16.5955 2.3759
24.6599 14.7817 13.9939 12.9137 16.5873 2.3860
24.4896 14.8286 14.0871 12.9681 16.5933 2.3960
24.3089 14.8558 14.2597 13.0087 16.6083 2.4060
