------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoAceleración
0.0486 0.0381 0.0471 0.0264 0.0400 2.6466
0.0482 0.0378 0.0469 0.0260 0.0397 2.6566
0.0476 0.0374 0.0467 0.0258 0.0394 2.6667
0.0467 0.0370 0.0463 0.0257 0.0389 2.6767
0.0456 0.0367 0.0458 0.0257 0.0384 2.6867
0.0442 0.0363 0.0451 0.0258 0.0379 2.6967
0.0425 0.0359 0.0444 0.0259 0.0372 2.7068
0.0405 0.0354 0.0435 0.0261 0.0364 2.7168
0.0397 0.0349 0.0425 0.0263 0.0358 2.7268
0.0400 0.0343 0.0424 0.0263 0.0358 2.7368
0.0402 0.0342 0.0423 0.0263 0.0357 2.7469
0.0403 0.0343 0.0421 0.0262 0.0357 2.7569
0.0404 0.0344 0.0418 0.0262 0.0357 2.7669
0.0404 0.0345 0.0416 0.0260 0.0356 2.7769
0.0404 0.0346 0.0412 0.0257 0.0355 2.7870
0.0403 0.0347 0.0408 0.0252 0.0352 2.7970
0.0399 0.0348 0.0403 0.0247 0.0349 2.8070
0.0394 0.0348 0.0397 0.0240 0.0345 2.8170
0.0386 0.0349 0.0391 0.0233 0.0340 2.8271
0.0381 0.0349 0.0385 0.0231 0.0336 2.8371
0.0375 0.0350 0.0378 0.0228 0.0333 2.8471
0.0368 0.0350 0.0370 0.0229 0.0329 2.8571
0.0359 0.0350 0.0363 0.0234 0.0327 2.8672
0.0350 0.0350 0.0358 0.0237 0.0323 2.8772
0.0340 0.0350 0.0353 0.0237 0.0320 2.8872
0.0330 0.0350 0.0348 0.0235 0.0316 2.8972
0.0320 0.0350 0.0342 0.0232 0.0311 2.9073
0.0308 0.0350 0.0337 0.0226 0.0306 2.9173
0.0297 0.0350 0.0332 0.0223 0.0300 2.9273
0.0286 0.0349 0.0327 0.0220 0.0295 2.9373
0.0273 0.0348 0.0322 0.0216 0.0290 2.9474
0.0261 0.0348 0.0317 0.0213 0.0284 2.9574
0.0248 0.0346 0.0312 0.0211 0.0279 2.9674
0.0241 0.0345 0.0309 0.0208 0.0276 2.9774
0.0249 0.0344 0.0307 0.0204 0.0276 2.9875
0.0255 0.0342 0.0305 0.0199 0.0275 2.9975
0.0259 0.0340 0.0303 0.0194 0.0274 3.0075
0.0261 0.0338 0.0301 0.0191 0.0273 3.0175
0.0262 0.0336 0.0298 0.0189 0.0271 3.0276
0.0262 0.0334 0.0296 0.0186 0.0269 3.0376
0.0261 0.0331 0.0294 0.0183 0.0267 3.0476
0.0258 0.0329 0.0292 0.0185 0.0266 3.0576
0.0255 0.0326 0.0291 0.0191 0.0266 3.0677
0.0251 0.0324 0.0290 0.0196 0.0265 3.0777
0.0247 0.0321 0.0290 0.0201 0.0265 3.0877
0.0242 0.0318 0.0289 0.0205 0.0264 3.0977
0.0237 0.0315 0.0289 0.0209 0.0263 3.1078
0.0232 0.0313 0.0288 0.0212 0.0261 3.1178
0.0228 0.0310 0.0288 0.0215 0.0260 3.1278
0.0223 0.0307 0.0287 0.0216 0.0258 3.1378
0.0219 0.0304 0.0286 0.0218 0.0257 3.1479
0.0214 0.0301 0.0285 0.0218 0.0255 3.1579
0.0211 0.0298 0.0284 0.0218 0.0253 3.1679
0.0207 0.0295 0.0282 0.0218 0.0251 3.1779
0.0204 0.0292 0.0280 0.0217 0.0248 3.1880
0.0201 0.0289 0.0278 0.0216 0.0246 3.1980
0.0199 0.0286 0.0275 0.0214 0.0244 3.2080
0.0197 0.0283 0.0272 0.0213 0.0241 3.2180
0.0196 0.0280 0.0268 0.0211 0.0239 3.2281
0.0195 0.0277 0.0264 0.0208 0.0236 3.2381
0.0195 0.0274 0.0259 0.0206 0.0234 3.2481
0.0195 0.0271 0.0254 0.0203 0.0231 3.2581
0.0195 0.0268 0.0251 0.0200 0.0229 3.2682
0.0195 0.0265 0.0252 0.0200 0.0228 3.2782
0.0196 0.0262 0.0252 0.0199 0.0228 3.2882
0.0197 0.0259 0.0253 0.0199 0.0227 3.2982
0.0198 0.0256 0.0252 0.0198 0.0226 3.3083
0.0200 0.0254 0.0252 0.0198 0.0226 3.3183
0.0202 0.0251 0.0251 0.0198 0.0225 3.3283
0.0204 0.0248 0.0250 0.0198 0.0225 3.3383
0.0206 0.0245 0.0249 0.0199 0.0225 3.3484
0.0208 0.0242 0.0247 0.0201 0.0225 3.3584
0.0211 0.0239 0.0245 0.0204 0.0225 3.3684
0.0214 0.0237 0.0242 0.0207 0.0225 3.3784
0.0217 0.0234 0.0239 0.0212 0.0226 3.3885
0.0221 0.0232 0.0236 0.0217 0.0226 3.3985
